date,max_tp,min_tp,rain,humidity
2020-03-01,0.0,1.6500000000000001,1.65,0.0
2020-03-02,0.08750000000000124,0.7750000000000001,2.15625,0.08750000000000124
2020-03-03,1.3749999999999982,2.1625000000000005,0.8,1.287499999999997
2020-03-04,0.4125000000000014,-1.1102230246251565e-16,0.50625,-0.9624999999999968
2020-03-05,-0.7875000000000014,-0.9249999999999999,2.3625000000000003,-1.2000000000000028
2020-03-06,1.0875000000000004,2.2874999999999996,0.94375,1.8750000000000018
2020-03-07,2.5,6.8625,4.34375,1.4124999999999996
2020-03-08,-2.5,4.8875,3.6125,-5.0
2020-03-09,2.0374999999999996,5.2875000000000005,15.0375,4.5375
2020-03-10,-0.012499999999997513,5.437499999999999,1.6437500000000003,-2.049999999999997
2020-03-11,-1.3125000000000018,1.6749999999999998,6.512500000000001,-1.3000000000000043
2020-03-12,-1.362499999999999,1.6624999999999999,5.081250000000001,-0.04999999999999716
2020-03-13,1.7374999999999972,4.0,2.63125,3.099999999999996
2020-03-14,0.6625000000000014,5.6375,3.8937500000000003,-1.0749999999999957
2020-03-15,-1.5374999999999996,2.3499999999999996,0.46875,-2.200000000000001
2020-03-16,0.45000000000000107,0.9624999999999999,1.9625,1.9875000000000007
2020-03-17,1.862499999999999,5.550000000000001,7.875000000000001,1.4124999999999979
2020-03-18,-4.0875,2.2875,0.09375,-5.949999999999999
2020-03-19,1.387500000000001,0.30000000000000004,0.13125,5.475000000000001
2020-03-20,0.11249999999999893,-0.07499999999999996,0.0375,-1.2750000000000021
2020-03-21,-2.6999999999999993,3.8125,0.9375,-2.8124999999999982
2020-03-22,4.125,2.4875000000000003,0.01875,6.824999999999999
2020-03-23,0.3000000000000007,3.6125000000000003,0.36250000000000004,-3.8249999999999993
2020-03-24,1.0875000000000004,7.2250000000000005,0.19375,0.7874999999999996
2020-03-25,0.6874999999999982,6.150000000000001,0.7937500000000001,-0.40000000000000213
2020-03-26,-0.7999999999999989,4.325,0.0,-1.4874999999999972
2020-03-27,1.0,2.8375,0.0,1.799999999999999
2020-03-28,-1.8000000000000007,4.4625,0.0,-2.8000000000000007
2020-03-29,-3.0749999999999993,0.55,0.0,-1.2749999999999986
2020-03-30,1.8874999999999993,1.1375,0.0,4.962499999999999
2020-03-31,0.3625000000000007,3.5375,0.09375,-1.5249999999999986
2020-04-01,-0.08750000000000036,4.749999999999999,0.425,-0.45000000000000107
2020-04-02,1.1624999999999996,5.7749999999999995,1.8312500000000003,1.25
2020-04-03,-0.01249999999999929,5.537499999999999,0.44999999999999996,-1.174999999999999
2020-04-04,0.7749999999999986,6.0249999999999995,0.04375,0.7874999999999979
2020-04-05,1.9124999999999979,8.175,7.55625,1.1374999999999993
2020-04-06,-1.5749999999999957,4.625,0.18125000000000002,-3.4874999999999936
2020-04-07,1.3625000000000007,3.1999999999999997,0.00625,2.9374999999999964
2020-04-08,1.2750000000000004,4.775,0.00625,-0.08750000000000036
2020-04-09,1.75,5.1125,0.0,0.47499999999999964
2020-04-10,0.22499999999999787,8.15,0.3875,-1.5250000000000021
2020-04-11,-1.625,8.225,1.3,-1.8499999999999979
2020-04-12,-4.875,6.3125,3.1999999999999997,-3.25
2020-04-13,1.0875000000000004,2.2375000000000003,0.0,5.9625
2020-04-14,1.5250000000000004,0.42499999999999993,0.0,0.4375
2020-04-15,1.8125000000000018,0.95,0.00625,0.2875000000000014
2020-04-16,1.0124999999999975,3.6375,0.0,-0.8000000000000043
2020-04-17,0.02500000000000213,7.7125,3.9750000000000005,-0.9874999999999954
2020-04-18,-3.9250000000000025,7.775000000000001,0.6500000000000001,-3.9500000000000046
2020-04-19,1.8249999999999975,6.925,0.018750000000000003,5.75
2020-04-20,1.7375000000000007,5.125,0.0,-0.0874999999999968
2020-04-21,-0.9249999999999972,4.2749999999999995,0.30000000000000004,-2.662499999999998
2020-04-22,1.6999999999999993,6.5375,0.0,2.6249999999999964
2020-04-23,0.7875000000000014,6.637500000000001,0.0,-0.9124999999999979
2020-04-24,0.25,7.187499999999999,0.0625,-0.5375000000000014
2020-04-25,-0.5250000000000021,6.9625,0.09375,-0.7750000000000021
2020-04-26,-4.637500000000001,6.862499999999999,0.33125,-4.112499999999999
2020-04-27,0.9625000000000021,3.2249999999999996,0.05625,5.600000000000003
2020-04-28,0.25,3.0124999999999997,1.9062499999999998,-0.7125000000000021
2020-04-29,-0.9750000000000014,4.687500000000001,11.6125,-1.2250000000000014
2020-04-30,-0.28749999999999964,3.9625000000000004,2.24375,0.6875000000000018
2020-05-01,-0.125,5.25,2.23125,0.16249999999999964
2020-05-02,2.1625000000000014,3.6375,0.1125,2.2875000000000014
2020-05-03,0.8874999999999993,5.4375,0.0,-1.2750000000000021
2020-05-04,0.21249999999999858,4.7625,0.0,-0.6750000000000007
2020-05-05,-0.7374999999999989,7.324999999999999,0.425,-0.9499999999999975
2020-05-06,1.674999999999999,7.625,1.2625,2.412499999999998
2020-05-07,0.32500000000000284,9.7375,0.58125,-1.349999999999996
2020-05-08,1.2125000000000021,8.7875,0.00625,0.8874999999999993
2020-05-09,1.8874999999999993,7.6125,1.9312500000000001,0.6749999999999972
2020-05-10,-6.600000000000003,5.0249999999999995,0.03125,-8.487500000000002
2020-05-11,-1.7125000000000004,2.2875,0.05,4.887500000000003
2020-05-12,1.5124999999999993,0.22499999999999987,0.0,3.2249999999999996
2020-05-13,-1.2624999999999975,2.1875,0.0,-2.774999999999997
2020-05-14,2.637500000000001,0.03749999999999998,0.0,3.8999999999999986
